Rank,Node ID,Degree
1,22,572
2,584,502
3,231,488
4,123,465
5,70,460
6,166,449
7,645,446
8,117,439
9,438,431
10,89,429
11,513,427
12,30,426
13,203,426
14,121,419
15,19690,415
16,368,414
17,19548,413
18,19839,412
19,209,405
20,19636,404
21,19614,401
22,19693,400
23,19855,398
24,19807,397
25,19858,393
26,53,385
27,19551,381
28,457,347
29,720,299
30,844,294
31,582,270
32,71,260
33,135,252
34,410,252
35,400,243
36,514,242
37,65,242
38,33,241
39,268,240
40,586,238
41,445,237
42,1306,234
43,163,232
44,193,231
45,469,229
46,100,225
47,661,225
48,252,221
49,325,220
50,825,218
51,225,218
52,716,218
53,651,209
54,115,196
55,1722,193
56,1334,188
57,228,184
58,339,174
59,154,171
60,669,163
61,1321,158
62,748,158
63,527,157
64,2421,155
65,1299,151
66,539,150
67,176,149
68,36,149
69,455,149
70,134,149
71,501,149
72,350,149
73,605,148
74,20,148
75,683,148
76,103,148
77,236,148
78,903,148
79,57,148
80,270,148
81,429,148
82,508,148
83,277,148
84,638,148
85,150,148
86,320,142
87,2206,141
88,1761,138
89,6,135
90,95,135
91,351,133
92,441,133
93,449,132
94,691,129
95,1196,128
96,864,128
97,158,126
98,17,125
99,839,125
100,2003,125
101,91,125
102,697,125
103,802,124
104,1147,123
105,307,123
106,190,123
107,837,122
108,746,122
109,1445,122
110,615,120
111,1019,119
112,328,119
113,1336,118
114,317,118
115,353,118
116,918,118
117,1489,117
118,87,117
119,471,117
120,1430,117
121,654,116
122,19710,116
123,109,116
124,875,115
125,647,115
126,1115,115
127,863,115
128,38,115
129,177,115
130,9659,113
131,23429,113
132,25110,113
133,23751,113
134,9685,113
135,9681,113
136,15699,113
137,44,113
138,7787,113
139,285,113
140,2,113
141,7833,113
142,404,113
143,16142,113
144,1668,113
145,7849,113
146,549,113
147,9657,113
148,816,113
149,10331,113
150,7763,113
151,15941,113
152,15780,113
153,3897,113
154,2177,113
155,873,113
156,393,113
157,933,113
158,389,113
159,10004,113
160,24906,113
161,16198,113
162,690,113
163,3165,113
164,890,113
165,489,113
166,2158,113
167,10580,113
168,276,113
169,25314,113
170,9655,113
171,999,113
172,9753,113
173,857,113
174,7822,113
175,10002,113
176,19819,112
177,3224,111
178,165,111
179,738,111
180,1620,111
181,724,110
182,1682,110
183,42,110
184,221,110
185,879,110
186,595,110
187,558,110
188,299,110
189,659,110
190,1740,109
191,349,109
192,847,109
193,224,109
194,316,109
195,3376,108
196,2577,108
197,250,107
198,1093,107
199,867,107
200,19856,107
201,925,106
202,1818,105
203,532,105
204,597,103
205,431,103
206,458,103
207,2581,103
208,600,102
209,1983,102
210,352,101
211,19664,101
212,971,100
213,267,99
214,598,99
215,1913,98
216,286,98
217,2210,98
218,509,96
219,1185,96
220,23400,96
221,19761,96
222,1796,95
223,23605,94
224,247,93
225,899,93
226,1017,93
227,1637,92
228,1036,92
229,461,92
230,19837,91
231,1695,91
232,1331,89
233,31219,87
234,1314,87
235,753,86
236,23848,86
237,4524,86
238,420,86
