Rank,Node ID,Degree
1,2,27731
2,50,25715
3,10,17093
4,8,12013
5,1625,11532
6,5,9727
7,23,9676
8,4,9179
9,43,9035
10,133,8659
11,20,8556
12,38,8235
13,1627,8001
14,99,7935
15,44,7295
16,70,7067
17,67,7046
18,83,5763
19,217,5558
20,12,5050
21,22,4807
22,56,4791
23,75,4319
24,26,4246
25,13,3891
26,48,3766
27,2151,3368
28,263,3271
29,128,3071
30,92,3061
31,272,2894
32,112,2747
33,150,2677
34,152,2659
35,153,2640
36,712,2446
37,148,2424
38,19,2390
39,317,2381
40,179,2347
41,574,2286
42,96,2273
43,88,2239
44,11,2209
45,834,2161
46,30,2144
47,7894,2037
48,466,1946
49,52,1915
50,1669,1844
51,155,1777
52,261,1730
53,4570,1677
54,1642,1672
55,76,1560
56,248,1496
57,213,1494
58,31,1468
59,1039,1440
60,40,1434
61,784,1370
62,17,1312
63,53,1295
64,27,1198
65,124,1155
66,538,1115
67,64,1110
68,7,1096
69,136535,1096
70,107677,1095
71,14,1090
72,244,1021
73,232,989
74,131,983
75,18375,981
76,348,958
77,3697,950
78,221,949
79,6,938
80,34,925
81,10463,923
82,136,922
83,347,918
84,305,916
85,289,907
86,306,904
87,39,890
88,228,860
89,49,856
90,9,854
91,661,854
92,15,844
93,1850,837
94,701,837
95,95,837
96,146,833
97,86,827
98,2602,826
99,2199,824
100,1,821
101,143,817
102,3228,815
103,80,810
104,85,807
105,113,801
106,674,795
107,62,791
108,5180,786
109,172,786
110,98,785
111,635,779
112,42,770
113,140,768
114,717,759
115,101,744
116,2215,744
117,109657,740
118,72,739
119,177,738
120,3,737
121,157,735
122,161,734
123,436,726
124,135,726
125,116,724
126,4441,723
127,1152,720
128,81,720
129,18,719
130,154,717
131,223,717
132,79108,714
133,103,712
134,210,712
135,45,708
136,367,703
137,46,702
138,36,702
139,185,702
140,74,698
141,202,696
142,16012,696
143,58,695
144,12021,694
145,26326,692
146,1339,691
147,4004,686
148,204,686
149,491,677
150,78,676
151,462,675
152,145,671
153,596,669
154,41,664
155,761,664
156,126,663
157,163,659
158,79152,646
159,68,643
160,29,640
161,97,639
162,169,633
163,415,632
164,37,629
165,87,629
166,142,628
167,266,628
168,77,628
169,158,627
170,229,619
171,65,615
172,375,614
173,25553,614
174,438,612
175,360,612
176,5198,610
177,245,610
178,319,607
179,468,605
180,331,599
181,337,599
182,326,599
183,66,598
184,55,597
185,181,595
186,407,595
187,167,593
188,218,592
189,287,590
190,345,589
191,254,588
192,160,587
193,445,587
194,90,586
195,315,583
196,376,581
197,16,581
198,262,579
199,222,579
200,117,579
201,356,578
202,320,577
203,374,576
204,276,576
205,180,575
206,504,575
207,267,575
208,380,573
209,183,573
210,371,572
211,809,571
212,241,570
213,13307,569
214,293,569
215,141,568
216,188,567
217,209,567
218,21,565
219,108,562
220,321,561
221,137,561
222,119,559
223,115,559
224,227,558
225,428,556
226,191,556
227,429,555
228,6772,554
229,382,554
230,796,553
231,166,553
232,301,552
233,299,552
234,439,551
235,91,550
236,260,549
237,234,549
238,243,548
239,308,548
240,171,545
241,418,544
242,332,544
243,129,544
244,358,544
245,182,543
246,170,543
247,340,542
248,208,542
249,269,541
250,283,540
251,60,540
252,403,538
253,215,536
254,257,536
255,383,535
256,206,534
257,353,531
258,189,531
259,459,529
260,106,524
261,25,521
262,1551,521
263,413,520
264,3562,519
265,144,517
266,207,516
267,6520,511
268,412,511
269,7377,510
270,197,509
271,610,508
272,1904,508
273,6057,503
274,500,502
275,93,495
276,3620,495
277,259,494
278,341,493
279,525,492
280,430,492
281,195,491
282,220,491
283,2348,491
284,123,488
285,121,488
286,63,486
287,384,485
288,285,485
289,109766,484
290,79085,481
291,1269,481
292,184,479
293,519,478
294,2112,476
295,419,475
296,1797,474
297,231,473
298,274,471
299,393,470
300,79113,469
301,174,469
302,404,468
303,339,467
304,164,466
305,51,466
306,381,464
307,251,463
308,414,461
309,89,461
310,463,461
311,411,460
312,377,459
313,425,459
314,362,459
315,2241,459
316,151,458
317,19663,458
318,54,455
319,593,452
320,73,452
321,253,451
322,426,450
323,6651,448
324,32,446
325,291,445
326,57,444
327,449,444
328,280,444
329,584,443
330,233,443
331,102,435
332,541,434
333,130,434
334,311,430
335,3119,428
336,446,427
337,187,416
338,212,415
339,219,415
340,19084,414
341,351,413
342,641,412
343,1793,412
344,588,411
345,3184,411
346,24,410
347,114,408
348,107,407
349,79220,407
350,642,406
351,19879,405
352,2752,404
353,193,403
354,11437,402
355,7874,402
356,230,401
357,79233,395
358,1343,394
359,79079,390
360,423,389
361,334,387
362,35,385
363,250,384
364,13791,384
365,2263,384
366,1021,383
367,138,383
368,3133,383
369,933,382
370,915,382
371,934,380
372,443,379
373,1834,377
374,33,373
375,270,373
376,1727,373
377,1052,369
378,186,366
379,3868,366
380,550,366
381,344,366
382,69,365
383,59,365
384,3116,363
385,1725,362
386,122,361
387,3189,360
388,176,358
389,1529,356
390,4022,355
391,127,354
392,532,353
393,149,350
394,6060,348
395,47,345
396,73904,345
397,242,341
398,2504,340
399,120,340
400,478,338
401,310,337
402,3660,337
403,773,337
404,612,336
405,173,336
406,200,335
407,314,334
408,100,334
409,2697,334
410,134,333
411,82,333
412,79204,332
413,2221,332
414,6342,332
415,2355,331
416,1074,328
417,1326,328
418,4500,327
419,651,326
420,61,325
421,104,324
422,139,323
423,147,322
424,1486,319
425,3001,318
426,3761,317
427,67308,317
428,211,316
429,7474,316
430,312,316
431,547,316
432,94,315
433,281,315
434,399,314
435,508,314
436,246,314
437,156,313
438,507,313
439,850,312
440,203,312
441,278,312
442,442,311
443,2288,310
444,346,309
445,1065,309
446,615,309
447,557,309
448,239,308
449,671,308
450,771,308
451,288,307
452,17870,307
453,192,307
454,33438,306
455,18890,306
456,7670,305
457,396,305
458,8525,304
459,489,304
460,464,304
461,132,303
462,12502,303
463,295,303
464,355,303
465,309,303
466,1070,303
467,268,302
468,265,302
469,401,302
470,390,302
471,235,301
472,226,301
473,416,301
474,296,300
475,431,299
476,3029,298
477,12581,297
478,216,297
479,1700,296
480,368,296
481,2086,296
482,465,295
483,579,295
484,448,295
485,4365,295
486,286,295
487,196,294
488,109,294
489,395,293
490,290,293
491,391,292
492,273,292
493,194,291
494,258,291
495,499,291
496,71,291
497,277,291
498,470,291
499,471,291
500,1515,291
501,178,290
502,484,290
503,469,290
504,342,290
505,338,290
506,460,290
507,461,289
508,434,289
509,318,289
510,409,289
511,373,289
512,1078,288
513,527,286
514,240,286
515,323,286
516,400,286
517,255,286
518,481,285
519,168,285
520,720,285
521,15545,283
522,333,282
523,364,282
524,714,281
525,455,281
526,389,281
527,328,281
528,361,280
529,3334,279
530,378,279
531,528,278
532,335,277
533,386,277
534,1069,276
535,437,276
536,2667,275
537,457,275
538,363,275
539,501,274
540,408,274
541,1075,273
542,444,272
543,110309,272
544,497,271
545,372,271
546,279,271
547,316,271
