Node_ID,In_Degree,Out_Degree,Total_Degree
22,572,0,572
584,502,0,502
231,488,0,488
123,465,0,465
70,438,22,460
166,449,0,449
645,446,0,446
117,439,0,439
438,431,0,431
89,429,0,429
513,427,0,427
30,426,0,426
203,426,0,426
121,419,0,419
19690,25,390,415
368,414,0,414
19548,8,405,413
19839,8,404,412
209,405,0,405
19636,404,0,404
19614,7,394,401
19693,20,380,400
19855,8,390,398
19807,7,390,397
19858,3,390,393
53,385,0,385
19551,9,372,381
457,0,347,347
720,299,0,299
844,294,0,294
582,270,0,270
71,0,260,260
410,198,54,252
135,0,252,252
400,0,243,243
65,0,242,242
514,0,242,242
33,1,240,241
268,0,240,240
586,238,0,238
445,0,237,237
1306,117,117,234
163,0,232,232
193,231,0,231
469,0,229,229
661,0,225,225
100,0,225,225
252,0,221,221
325,117,103,220
716,0,218,218
225,0,218,218
825,115,103,218
651,209,0,209
115,0,196,196
1722,0,193,193
1334,188,0,188
228,184,0,184
339,174,0,174
154,145,26,171
669,163,0,163
748,0,158,158
1321,158,0,158
527,0,157,157
2421,151,4,155
1299,0,151,151
539,150,0,150
501,149,0,149
176,149,0,149
455,145,4,149
36,149,0,149
134,149,0,149
350,149,0,149
277,148,0,148
236,148,0,148
20,148,0,148
270,148,0,148
508,144,4,148
683,148,0,148
429,148,0,148
150,148,0,148
605,148,0,148
57,148,0,148
903,148,0,148
103,148,0,148
638,148,0,148
320,1,141,142
2206,2,139,141
1761,134,4,138
6,99,36,135
95,2,133,135
351,0,133,133
441,133,0,133
449,132,0,132
691,0,129,129
1196,0,128,128
864,128,0,128
158,126,0,126
17,0,125,125
839,125,0,125
697,125,0,125
2003,125,0,125
91,125,0,125
802,124,0,124
1147,0,123,123
190,0,123,123
307,0,123,123
746,0,122,122
1445,0,122,122
837,122,0,122
615,0,120,120
328,119,0,119
1019,0,119,119
1336,118,0,118
918,0,118,118
353,0,118,118
317,118,0,118
471,117,0,117
87,117,0,117
1489,117,0,117
1430,117,0,117
654,0,116,116
109,116,0,116
19710,116,0,116
177,115,0,115
863,0,115,115
1115,115,0,115
38,115,0,115
875,115,0,115
647,0,115,115
857,113,0,113
7849,113,0,113
15941,113,0,113
933,113,0,113
489,113,0,113
9681,113,0,113
16198,113,0,113
2158,113,0,113
389,113,0,113
7763,113,0,113
44,113,0,113
873,113,0,113
7822,113,0,113
7833,113,0,113
10004,113,0,113
2177,113,0,113
23429,113,0,113
816,113,0,113
999,113,0,113
25110,113,0,113
23751,113,0,113
9659,113,0,113
10002,113,0,113
9685,113,0,113
10580,113,0,113
10331,113,0,113
1668,113,0,113
393,113,0,113
7787,113,0,113
549,113,0,113
9657,113,0,113
3897,113,0,113
3165,113,0,113
25314,113,0,113
15780,113,0,113
16142,113,0,113
690,113,0,113
9655,113,0,113
24906,113,0,113
9753,113,0,113
404,0,113,113
15699,113,0,113
285,113,0,113
890,113,0,113
276,1,112,113
2,113,0,113
19819,112,0,112
1620,0,111,111
738,111,0,111
165,0,111,111
3224,111,0,111
42,110,0,110
659,110,0,110
558,110,0,110
724,110,0,110
595,0,110,110
1682,110,0,110
221,110,0,110
299,0,110,110
879,110,0,110
349,0,109,109
847,0,109,109
1740,0,109,109
224,109,0,109
316,0,109,109
2577,0,108,108
3376,108,0,108
867,107,0,107
1093,107,0,107
19856,107,0,107
250,0,107,107
925,106,0,106
532,105,0,105
1818,105,0,105
458,0,103,103
597,0,103,103
431,0,103,103
2581,103,0,103
1983,0,102,102
600,1,101,102
19664,101,0,101
352,101,0,101
971,0,100,100
267,99,0,99
598,99,0,99
286,0,98,98
1913,98,0,98
2210,98,0,98
1185,96,0,96
509,0,96,96
23400,96,0,96
19761,96,0,96
1796,95,0,95
23605,94,0,94
247,93,0,93
899,93,0,93
1017,93,0,93
1036,0,92,92
461,92,0,92
1637,92,0,92
1695,91,0,91
19837,91,0,91
1331,89,0,89
1314,87,0,87
31219,0,87,87
3444,86,0,86
4524,0,86,86
425,86,0,86
420,86,0,86
753,86,0,86
23848,86,0,86
995,85,0,85
1310,0,85,85
10155,84,0,84
1536,42,42,84
1504,84,0,84
10288,84,0,84
9704,84,0,84
9746,84,0,84
9638,84,0,84
405,84,0,84
2836,84,0,84
939,84,0,84
1858,83,0,83
1498,0,82,82
19528,81,0,81
68,81,0,81
2029,80,0,80
4472,80,0,80
1415,80,0,80
1798,79,0,79
2115,79,0,79
1678,79,0,79
298,79,0,79
1831,79,0,79
768,57,22,79
2840,78,0,78
1699,78,0,78
1248,78,0,78
1045,78,0,78
1591,77,0,77
330,76,0,76
1720,76,0,76
2119,76,0,76
3359,76,0,76
2232,75,0,75
20215,74,0,74
1382,38,36,74
2523,38,36,74
160,73,0,73
510,73,0,73
1077,73,0,73
334,72,0,72
442,0,72,72
3289,71,0,71
64,71,0,71
734,71,0,71
928,0,71,71
842,70,0,70
799,69,0,69
466,69,0,69
3472,68,0,68
19639,0,68,68
1039,68,0,68
642,68,0,68
348,67,0,67
1435,67,0,67
3321,66,0,66
657,66,0,66
5145,66,0,66
1034,66,0,66
19677,65,0,65
3202,64,0,64
1452,38,25,63
1122,62,0,62
505,62,0,62
2209,62,0,62
543,62,0,62
776,38,24,62
1459,61,0,61
997,61,0,61
1304,38,23,61
630,38,23,61
354,61,0,61
19570,60,0,60
573,60,0,60
269,60,0,60
