Node_ID,In_Degree,Out_Degree,Total_Degree
2,34111,370,34481
10,20228,3986,24214
8,14909,4437,19346
22,14153,56,14209
4,11245,1982,13227
43,11083,542,11625
38,10352,908,11260
23,9967,538,10505
20,8264,1572,9836
5,509,9171,9680
99,7723,1878,9601
44,7799,1590,9389
133,7374,1850,9224
70,8303,561,8864
67,7155,1619,8774
12,7328,122,7450
83,4586,2708,7294
56,6394,859,7253
217,4710,2249,6959
75,5848,298,6146
48,4004,1595,5599
26,4344,974,5318
150,4725,25,4750
155,3461,691,4152
13,3134,920,4054
24,3729,282,4011
213,3461,317,3778
263,317,3069,3386
112,3269,89,3358
19,2566,530,3096
53,1994,1090,3084
712,3026,43,3069
11,2045,968,3013
92,271,2702,2973
52,1797,1165,2962
272,1676,1238,2914
7,403,2443,2846
168,1756,1004,2760
14,2037,719,2756
459,2109,479,2588
96,1606,979,2585
31,2116,468,2584
17,1722,762,2484
784,2427,20,2447
152,2033,400,2433
20477,1860,516,2376
15,1057,1311,2368
30,1188,1143,2331
148,2008,292,2300
834,1807,401,2208
88,1353,851,2204
42,962,1231,2193
77,915,1268,2183
48771,1957,20,1977
261,1293,576,1869
27,871,929,1800
26560,1385,281,1666
8676,229,1342,1571
81,936,594,1530
10117,518,902,1420
40,850,539,1389
64,840,526,1366
674,650,672,1322
3666,387,909,1296
491,1118,177,1295
202,461,791,1252
1952,410,831,1241
138,344,889,1233
348,589,627,1216
33,1121,71,1192
177,717,469,1186
103,607,572,1179
367,701,465,1166
306,597,564,1161
60,656,502,1158
512,476,681,1157
1272,402,739,1141
413,969,164,1133
55,210,920,1130
352,447,680,1127
541,939,182,1121
436,642,466,1108
98,712,392,1104
48802,0,1097,1097
73920,0,1096,1096
48786,0,1096,1096
904,317,776,1093
4261,162,927,1089
39,564,501,1065
93,641,420,1061
687,916,131,1047
134,494,551,1045
143,202,843,1045
95,515,518,1033
113,696,337,1033
144,460,564,1024
635,499,520,1019
62,588,423,1011
73956,0,992,992
225,774,215,989
45,404,582,986
80,547,436,983
223,530,444,974
500,783,189,972
107,446,526,972
136,132,835,967
34,406,551,957
228,401,554,955
2474,235,701,936
47,469,456,925
212,238,686,924
620,851,71,922
2583,277,630,907
8864,110,796,906
1793,752,150,902
1589,680,216,896
36,245,650,895
9,303,582,885
1101,744,141,885
86,381,503,884
186,736,148,884
289,379,496,875
123,141,733,874
76,293,575,868
1,315,551,866
2774,715,149,864
35,677,186,863
761,827,29,856
97,324,530,854
8750,177,674,851
371,192,659,851
6,725,122,847
355,462,380,842
18,759,82,841
1725,693,147,840
801,608,221,829
266,637,191,828
2173,148,678,826
3,215,610,825
1152,77,747,824
85,425,397,822
189,249,567,816
246,468,348,816
463,390,423,813
25,367,443,810
164,355,448,803
170,178,624,802
90,412,386,798
1677,227,566,793
58,276,517,793
207,697,94,791
124,309,481,790
4065,266,523,789
105,106,682,788
1904,104,675,779
269,141,637,778
334,582,190,772
126,459,310,769
2297,320,449,769
131,464,304,768
23722,163,605,768
116,194,573,767
1403,749,12,761
1716,328,427,755
41,311,441,752
4929,95,656,751
115,161,585,746
135,232,514,746
72,190,555,745
332,171,573,744
101,184,556,740
3846,634,105,739
2295,54,682,736
2183,226,510,736
469,653,82,735
183,270,465,735
938,722,12,734
717,721,13,734
20846,256,477,733
1507,593,137,730
1410,63,666,729
1820,718,6,724
383,142,581,723
37,349,373,722
245,187,532,719
63,382,337,719
61,628,87,715
474,310,400,710
154,263,447,710
46,214,495,709
471,592,116,708
206,287,420,707
1246,262,442,704
294,352,347,699
21,145,553,698
181,123,569,692
102,323,369,692
78,174,518,692
4162,368,324,692
309,316,374,690
185,133,555,688
376,194,494,688
1551,274,413,687
339,281,405,686
6183,158,526,684
244,250,429,679
377,303,375,678
285,143,532,675
337,199,474,673
254,371,298,669
356,144,524,668
1486,500,168,668
3126,205,462,667
579,38,626,664
504,275,389,664
2215,165,498,663
299,128,533,661
1009,132,529,661
50,275,385,660
18243,164,495,659
65,292,367,659
208,262,396,658
68,141,516,657
220,192,465,657
1512,550,102,652
10168,193,457,650
3029,539,111,650
360,253,397,650
468,252,397,649
345,633,15,648
934,516,132,648
438,251,397,648
319,251,395,646
320,123,522,645
187,129,516,645
415,336,309,645
29,278,367,645
2355,639,5,644
2202,10,633,643
430,131,512,643
182,162,480,642
51,213,429,642
331,133,509,642
151,260,381,641
160,243,398,641
429,134,506,640
418,303,337,640
142,250,390,640
158,125,515,640
227,145,494,639
117,130,508,638
169,255,382,637
267,136,500,636
16,147,489,636
328,274,361,635
20750,4,630,634
218,451,183,634
659,177,456,633
137,132,501,633
393,200,432,632
121,295,337,632
419,251,381,632
293,285,346,631
425,244,387,631
48826,544,86,630
287,127,502,629
222,136,490,626
375,248,378,626
188,129,496,625
141,124,500,624
262,125,499,624
3133,503,120,623
215,119,504,623
305,121,501,622
129,139,483,622
301,120,502,622
259,128,494,622
191,134,487,621
241,121,500,621
161,253,368,621
108,206,414,620
308,126,491,617
286,205,412,617
5764,122,495,617
353,123,493,616
949,482,133,615
48834,526,89,615
403,119,495,614
2241,513,101,614
340,127,486,613
257,123,489,612
253,187,425,612
171,122,490,612
243,121,486,607
91,122,484,606
426,115,491,606
1223,162,443,605
234,120,484,604
128,263,341,604
3975,483,119,602
311,192,409,601
380,278,322,600
420,315,284,599
32,193,405,598
347,589,9,598
358,117,481,598
407,119,478,597
445,250,346,596
643,462,134,596
180,122,474,596
8802,489,106,595
74,198,396,594
362,194,399,593
210,257,336,593
382,126,467,593
627,486,107,593
209,269,323,592
130,184,408,592
404,206,386,592
12384,96,495,591
197,242,349,591
15313,183,407,590
1269,473,116,589
167,258,331,589
344,183,405,588
2752,469,119,588
283,116,470,586
146,246,340,586
315,254,331,585
9543,187,397,584
1271,499,84,583
235,320,261,581
3991,99,481,580
258,507,73,580
412,257,323,580
229,121,458,579
221,182,396,578
323,324,254,578
87,262,316,578
119,127,451,578
251,180,397,577
2472,70,505,575
274,192,382,574
14274,145,428,573
260,248,324,572
321,243,328,571
233,510,61,571
326,250,320,570
174,212,357,569
1227,456,113,569
89,184,385,569
66,512,57,569
390,191,377,568
411,189,377,566
14066,226,340,566
242,322,243,565
195,173,391,564
381,241,323,564
374,462,102,564
414,175,386,561
49009,128,433,561
204,244,316,560
106,383,177,560
276,244,314,558
166,245,312,557
341,176,381,557
231,178,379,557
310,468,84,552
410,99,451,550
428,239,310,549
747,458,89,547
280,173,372,545
270,165,380,545
13859,121,423,544
20640,197,340,537
584,400,137,537
1237,459,74,533
449,183,348,531
2678,63,466,529
172,183,345,528
16657,115,413,528
665,436,92,528
11335,128,399,527
769,47,477,524
14505,40,484,524
176,271,252,523
54,354,166,520
928,356,163,519
114,496,22,518
1834,443,74,517
73,217,297,514
48920,52,461,513
875,387,125,512
771,416,96,512
284,370,141,511
439,285,225,510
2541,187,316,503
547,132,368,500
907,424,75,499
179,187,312,499
1709,410,87,497
816,420,77,497
73901,0,497,497
359,474,20,494
230,261,231,492
3015,139,352,491
1077,382,108,490
594,224,264,488
824,55,432,487
2271,8,479,487
498,417,69,486
291,273,212,485
765,93,392,485
384,221,261,482
198,409,72,481
4557,417,64,481
11918,118,363,481
6337,116,364,480
516,384,95,479
649,410,67,477
15293,112,364,476
610,388,88,476
192,115,360,475
265,293,181,474
3243,299,173,472
455,406,65,471
698,134,333,467
2524,270,196,466
1372,353,113,466
531,267,199,466
338,261,202,463
2348,358,104,462
5419,160,297,457
2891,55,401,456
2201,107,349,456
5360,92,360,452
2906,372,79,451
58458,92,358,450
961,358,90,448
3855,373,74,447
1341,138,309,447
13595,48,397,445
1682,81,364,445
2748,133,312,445
796,370,74,444
4865,79,365,444
49,409,32,441
25302,46,393,439
1069,326,112,438
303,245,193,438
15015,51,386,437
17897,255,180,435
3678,105,330,435
3579,128,307,435
178,281,153,434
4839,42,392,434
1033,420,14,434
2067,52,380,432
22802,116,312,428
924,2,425,427
15696,118,307,425
25872,49,376,425
2089,347,77,424
854,13,409,422
57,108,312,420
4126,144,273,417
193,369,47,416
2278,128,286,414
342,367,46,413
433,239,173,412
5862,41,371,412
1025,52,359,411
2387,34,377,411
13108,20,389,409
1211,305,103,408
84,326,76,402
111,122,277,399
1052,387,11,398
480,300,98,398
5056,343,55,398
3638,296,101,397
927,338,59,397
2086,343,53,396
1036,99,297,396
3672,37,359,396
4974,51,343,394
1002,155,238,393
612,334,58,392
915,379,13,392
481,286,106,392
710,289,102,391
312,345,46,391
132,298,92,390
443,295,94,389
226,261,128,389
808,307,81,388
10611,25,363,388
5561,103,285,388
94,251,136,387
20235,88,298,386
6989,30,355,385
205,294,91,385
1869,260,125,385
13280,78,304,382
2321,304,77,381
1490,251,129,380
1021,181,198,379
3288,271,108,379
163,282,96,378
1259,75,303,378
768,90,287,377
596,359,17,376
11585,39,337,376
4429,289,85,374
7719,40,332,372
322,331,41,372
7188,41,331,372
641,279,93,372
1140,264,108,372
118,276,95,371
48860,60,311,371
4434,110,260,370
2481,44,326,370
122,284,86,370
333,328,42,370
549,239,129,368
2263,115,253,368
3024,6,362,368
4017,65,303,368
10481,310,57,367
437,257,109,366
58248,7,359,366
58253,297,69,366
175,80,285,365
14015,58,305,363
314,308,55,363
232,53,310,363
11079,83,279,362
6515,293,69,362
1825,118,244,362
2336,4,358,362
580,273,87,360
520,246,113,359
434,280,79,359
378,273,86,359
6519,53,306,359
370,318,40,358
279,317,41,358
795,129,229,358
11549,30,328,358
470,245,112,357
15676,83,274,357
282,116,241,357
21437,24,332,356
831,277,78,355
8408,84,271,355
1366,34,321,355
10876,57,298,355
913,322,33,355
200,314,40,354
529,166,184,350
296,308,41,349
1346,330,19,349
351,31,318,349
59,271,77,348
10025,52,295,347
452,254,93,347
3334,313,34,347
2747,45,302,347
1693,273,73,346
5445,24,320,344
73921,0,344,344
2516,6,337,343
889,98,244,342
173,277,64,341
488,319,21,340
933,265,75,340
2636,104,236,340
329,305,34,339
8972,132,205,337
28824,5,332,337
22716,68,269,337
615,265,71,336
17709,7,329,336
69,267,69,336
120,279,56,335
8842,138,196,334
10313,23,311,334
2792,228,106,334
4024,108,225,333
427,240,93,333
184,288,45,333
3851,18,313,331
153,258,73,331
11822,34,297,331
2221,322,9,331
1796,246,84,330
109,163,167,330
1481,32,298,330
6348,6,324,330
453,62,267,329
372,15,314,329
424,249,80,329
3766,102,226,328
22917,51,277,328
931,112,216,328
48772,267,60,327
196,273,54,327
12475,270,57,327
250,280,46,326
48907,111,215,326
16083,6,320,326
295,265,61,326
2194,55,271,326
2049,36,289,325
5619,96,228,324
5176,275,49,324
1949,253,71,324
464,273,50,323
165,251,72,323
5722,242,81,323
199,252,71,323
1969,60,263,323
492,239,84,323
394,259,63,322
416,289,33,322
357,261,61,322
12592,39,283,322
1301,37,285,322
190,266,55,321
290,281,39,320
457,254,66,320
423,105,213,318
1407,20,298,318
238,85,233,318
485,284,34,318
2010,250,68,318
3116,140,177,317
528,258,59,317
18712,43,274,317
82,288,29,317
4018,53,263,316
399,270,46,316
100,277,39,316
6413,50,265,315
4753,120,195,315
5322,58,256,314
391,284,30,314
7146,248,66,314
780,61,253,314
543,188,125,313
216,261,51,312
6280,247,65,312
140,289,23,312
2219,78,234,312
15422,70,241,311
5243,66,244,310
214,277,32,309
508,19,290,309
448,271,38,309
147,260,49,309
4921,248,60,308
503,255,53,308
368,258,49,307
850,84,222,306
461,259,46,305
1193,102,203,305
1433,253,52,305
489,268,37,305
30788,77,228,305
211,259,46,305
518,261,44,305
247,235,69,304
2178,293,10,303
19663,267,35,302
2584,253,49,302
239,285,17,302
1170,194,107,301
281,257,44,301
7321,35,266,301
1891,225,76,301
1006,98,202,300
268,253,47,300
273,246,54,300
104,249,51,300
442,266,34,300
389,241,58,299
507,243,56,299
720,291,8,299
501,6,292,298
460,272,26,298
316,260,38,298
252,240,57,297
361,256,41,297
363,254,43,297
278,236,61,297
636,31,266,297
1373,46,250,296
71,259,37,296
346,255,41,296
396,262,34,296
465,251,44,295
387,262,33,295
386,231,63,294
3423,47,247,294
366,238,55,293
304,240,53,293
1233,256,35,291
499,242,49,291
349,253,37,290
395,259,31,290
694,168,122,290
156,260,29,289
5612,243,46,289
277,242,46,288
255,247,41,288
162,242,46,288
125,247,41,288
73906,0,288,288
9924,51,236,287
484,236,51,287
2073,84,203,287
1166,22,265,287
1107,263,23,286
1971,83,203,286
5593,281,4,285
2511,217,68,285
249,255,30,285
157,252,33,285
446,50,235,285
307,237,48,285
2853,52,233,285
48797,12,272,284
472,248,36,284
1286,162,122,284
870,40,244,284
1451,126,157,283
9512,39,243,282
4233,234,48,282
651,246,36,282
256,255,27,282
15155,61,221,282
264,255,27,282
421,262,20,282
201,241,40,281
7398,49,232,281
292,261,20,281
364,248,32,280
24457,58,222,280
15445,18,262,280
417,251,28,279
6323,211,68,279
4121,215,64,279
4847,52,227,279
22508,233,45,278
139,254,24,278
275,255,23,278
466,250,28,278
8080,56,221,277
401,253,24,277
203,255,22,277
317,254,23,277
3172,163,114,277
3450,53,224,277
14453,41,236,277
219,237,40,277
2693,41,236,277
365,258,18,276
1339,230,46,276
1127,49,227,276
373,229,47,276
478,240,33,273
1131,68,205,273
406,240,33,273
527,255,18,273
